,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
0,Acridotheres tristis,Common Myna,Sanjay Gandhi NP--Tikujiniwadi,19.2377,72.9629,24-Jan-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
1,Acridotheres tristis,Common Myna,Malhargad,18.4113,74.0485,6-Oct-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,Acridotheres tristis,Common Myna,"Suryamal, Tansa WLS",19.7528,73.3514,11-Mar-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,Acridotheres tristis,Common Myna,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,3-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,Acridotheres tristis,Common Myna,"Royal palms, Aarey colony",19.1715,72.8725,5-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,Acridotheres tristis,Common Myna,"Saswad, Pune Dt",18.3711,74.0966,30-Jun-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,Acridotheres tristis,Common Myna,Central Mine Planning & Design Institute (CMPDI),21.1864,79.0852,24-Mar-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,Acridotheres tristis,Common Myna,"Seven Bunglow, 3",19.1284,72.8194,6-Jun-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,Acridotheres tristis,Common Myna,"Aga Khan Palace, Pune, India",18.5521,73.902,29-Jul-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,Acridotheres tristis,Common Myna,"Bena, Near Vasai Beach",19.3469,72.7909,1-Apr-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,Acridotheres tristis,Common Myna,"CBMP 8 Unnamed Road, Maharashtra, IN (21.054, 75.885)",21.0539,75.8848,17-Sep-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,Acridotheres tristis,Common Myna,"Royal palms, Aarey colony",19.1715,72.8725,5-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,Acridotheres tristis,Common Myna,"Royal palms, Aarey colony",19.1715,72.8725,5-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,Acridotheres tristis,Common Myna,Tapti River--behind BTPS,21.0602,75.8353,16-May-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
