,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,26-Nov-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,4-May-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,Phoenicopterus roseus,Greater Flamingo,Seawoods--Navi Mumbai,19.0101,73.0094,5-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,Phoenicopterus roseus,Greater Flamingo,"Ambazari Lake, Nagpur",21.1292,79.0329,9-Apr-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,Phoenicopterus roseus,Greater Flamingo,"Thane creek Flamingo sanctuary, Airoli",19.15,72.9804,15-Apr-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,Phoenicopterus roseus,Greater Flamingo,"Sewri Jetty, Mumbai",18.9956,72.8613,24-May-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,Phoenicopterus roseus,Greater Flamingo,"Ekbhurgi dam, Washim",20.059,77.0939,19-Feb-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,Phoenicopterus roseus,Greater Flamingo,"19.14x72.957 - Jan 23, 2017 07:04",19.1398,72.9575,23-Jan-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,Phoenicopterus roseus,Greater Flamingo,"Bhandup Pumping Station, Mumbai",19.1411,72.961,7-Jan-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,Phoenicopterus roseus,Greater Flamingo,"Bhandup Pumping Station, Mumbai",19.1411,72.961,30-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,12-Mar-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,Phoenicopterus roseus,Greater Flamingo,Jaikwadi Bird Sanctuary,19.4779,75.3656,23-Apr-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Diksal,18.3116,74.7927,16-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
14,Phoenicopterus roseus,Greater Flamingo,Kashyapi Dam,20.0769,73.5998,23-Jun-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
15,Phoenicopterus roseus,Greater Flamingo,Bhigwan bird sanctuary,18.2872,74.74,16-May-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
16,Phoenicopterus roseus,Greater Flamingo,Seawoods--Navi Mumbai,19.0101,73.0094,5-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
17,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,13-Feb-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
18,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,13-Feb-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
19,Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,13-Feb-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
20,Phoenicopterus roseus,Greater Flamingo,"kumbhargoan dock, Kumbhargaon, Maharashtra, IN (18.273, 74.796)",18.2727,74.7957,24-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
