,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1,Passer domesticus,House Sparrow,"Rutuparna Society, Baner",18.564,73.786,15-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,Passer domesticus,House Sparrow,Waghad Dam,20.2121,73.7155,30-Nov-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,Passer domesticus,House Sparrow,"Terrace Of Jeevan Sarita, Tejpal Scheme",19.1068,72.8491,1-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,Passer domesticus,House Sparrow,"Nimkhedi Road , Jalgaon, Maharashtra, IN (21.022, 75.517)",21.0222,75.5167,15-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,Passer domesticus,House Sparrow,"Sahakar Nagar, Nagpur",21.1443,79.0587,28-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,Passer domesticus,House Sparrow,"Powai Lake, Mumbai",19.1208,72.9024,19-Dec-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,5-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,1-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,Passer domesticus,House Sparrow,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,22-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,Passer domesticus,House Sparrow,Central Mine Planning & Design Institute (CMPDI),21.1864,79.0852,19-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,Passer domesticus,House Sparrow,"Sahakar Nagar, Nagpur",21.1443,79.0587,28-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,13-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
14,Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,6-Jul-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
15,Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,6-Jul-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
16,Passer domesticus,House Sparrow,Erandwane,18.5055,73.8304,13-Mar-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
17,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,30-Apr-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
18,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,4-Sep-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
19,Passer domesticus,House Sparrow,At My Home,20.5803,79.679,19-Apr-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
20,Passer domesticus,House Sparrow,"Paradgaon Dam, Nagpur",20.9356,79.2261,22-Mar-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
21,Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,4-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
22,Passer domesticus,House Sparrow,"Sarasbaug, Pune",18.501,73.8529,6-Jun-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
23,Passer domesticus,House Sparrow,Bhowte Layout,20.9128,77.7758,17-Feb-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
24,Passer domesticus,House Sparrow,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,27-Oct-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
25,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,8-Aug-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
26,Passer domesticus,House Sparrow,"Sahakar Nagar, Nagpur",21.1443,79.0587,28-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
27,Passer domesticus,House Sparrow,Bhigwan -- Diksal,18.3116,74.7927,16-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
28,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,13-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
29,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,11-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
30,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,11-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
31,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,11-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
32,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,7-Jun-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
33,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,7-Jun-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
34,Passer domesticus,House Sparrow,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,28-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
35,Passer domesticus,House Sparrow,"Sahakar Nagar, Nagpur",21.1443,79.0587,4-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
36,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
37,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,18-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
38,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,17-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
39,Passer domesticus,House Sparrow,atur park,19.051,72.905,15-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
40,Passer domesticus,House Sparrow,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,5-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
41,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,30-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
42,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,10-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
43,Passer domesticus,House Sparrow,"Dombivli, Maharashtra, IN (19.219, 73.069)",19.2193,73.0692,2-Nov-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
44,Passer domesticus,House Sparrow,Malhargad,18.4113,74.0485,6-Oct-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
45,Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,6-Jul-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
46,Passer domesticus,House Sparrow,swami samarth Garden,19.0572,72.9237,11-May-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
47,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,30-Apr-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
48,Passer domesticus,House Sparrow,"Chhatri Lake--Backwaters, Amravati",20.8955,77.7764,18-Mar-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
