,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1,Anas poecilorhyncha,Indian Spot-billed Duck,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,15-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,Anas poecilorhyncha,Indian Spot-billed Duck,"Salim Ali Lake, Aurangabad",19.8987,75.3436,31-Jan-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,Anas poecilorhyncha,Indian Spot-billed Duck,Khadakwasla Dam,18.4295,73.758,17-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,Anas poecilorhyncha,Indian Spot-billed Duck,Kapurwadi lake,19.1168,74.7798,18-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,Anas poecilorhyncha,Indian Spot-billed Duck,"Pashan Lake, Pune",18.5318,73.7854,4-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,Anas poecilorhyncha,Indian Spot-billed Duck,Veer Dam,18.1184,74.0842,24-Mar-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,26-Jun-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,Anas poecilorhyncha,Indian Spot-billed Duck,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,12-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,Anas poecilorhyncha,Indian Spot-billed Duck,Manora Reservoir,19.8889,79.4918,16-Jan-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,Anas poecilorhyncha,Indian Spot-billed Duck,Maruti Chitampalli Bird Park,21.1336,79.0177,15-May-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,24-Jan-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,Anas poecilorhyncha,Indian Spot-billed Duck,Khadakwasla Dam,18.4295,73.758,17-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,14-Jan-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
