,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1,Halcyon smyrnensis,White-throated Kingfisher,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,16-Jan-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,Halcyon smyrnensis,White-throated Kingfisher,Sinhagad Valley,18.3799,73.7714,10-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,Halcyon smyrnensis,White-throated Kingfisher,kudal,15.999,73.6835,8-Jan-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,Halcyon smyrnensis,White-throated Kingfisher,Karnala Bird Sanctuary,18.8933,73.1134,11-Jul-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,Halcyon smyrnensis,White-throated Kingfisher,Kavdi Pat,18.5054,74.0006,18-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,Halcyon smyrnensis,White-throated Kingfisher,"Ambazari Lake, Nagpur",21.1292,79.0329,2-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,Halcyon smyrnensis,White-throated Kingfisher,"IN-Maharashtra-Thane - 19.176x73.075 - Jun 24, 2017 ",19.1757,73.0749,19-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,Halcyon smyrnensis,White-throated Kingfisher,"JNPT Area, Near Uran, Maharashtra",18.9004,72.9486,5-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,Halcyon smyrnensis,White-throated Kingfisher,"Toyo Engineering, India",19.1291,72.9265,18-Dec-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,Halcyon smyrnensis,White-throated Kingfisher,"Bena, Near Vasai Beach",19.3469,72.7909,1-Apr-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,Halcyon smyrnensis,White-throated Kingfisher,Erandwane,18.5055,73.8304,2-Dec-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,Halcyon smyrnensis,White-throated Kingfisher,"Ambazari Lake, Nagpur",21.1292,79.0329,17-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,Halcyon smyrnensis,White-throated Kingfisher,"Ambazari Lake, Nagpur",21.1292,79.0329,1-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
14,Halcyon smyrnensis,White-throated Kingfisher,Pimprisekam-River Bhogawati,21.0483,75.8638,5-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
15,Halcyon smyrnensis,White-throated Kingfisher,Inside the gate  of pashan lake,18.5363,73.7834,28-Nov-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
16,Halcyon smyrnensis,White-throated Kingfisher,"Eco Park, Nanded City",18.4546,73.7852,3-Mar-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
17,Halcyon smyrnensis,White-throated Kingfisher,Gogte saltpans vasai,19.4077,72.8185,18-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
18,Halcyon smyrnensis,White-throated Kingfisher,"Ambazari Lake, Nagpur",21.1292,79.0329,17-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
19,Halcyon smyrnensis,White-throated Kingfisher,"Mangli Lake, Umred Road, Near Nagpur",20.999,79.2096,4-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
20,Halcyon smyrnensis,White-throated Kingfisher,Malshiras,17.8656,74.9114,12-Apr-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
21,Halcyon smyrnensis,White-throated Kingfisher,Shiravli (Devgad) Konkan,16.4101,73.6037,20-Jan-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
22,Halcyon smyrnensis,White-throated Kingfisher,"Royal palms, Aarey colony",19.1715,72.8725,5-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
23,Halcyon smyrnensis,White-throated Kingfisher,ST colony,16.8427,74.5958,29-Apr-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
24,Halcyon smyrnensis,White-throated Kingfisher,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,3-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
25,Halcyon smyrnensis,White-throated Kingfisher,"Ambazari Lake, Nagpur",21.1292,79.0329,23-Apr-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
26,Halcyon smyrnensis,White-throated Kingfisher,"Ambazari Lake, Nagpur",21.1292,79.0329,24-Feb-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
27,Halcyon smyrnensis,White-throated Kingfisher,Popatkhed reservoir,21.2115,77.0844,22-Jan-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
28,Halcyon smyrnensis,White-throated Kingfisher,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,3-Dec-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
29,Halcyon smyrnensis,White-throated Kingfisher,"Girna Pumping Station, Savkhede Bk., Jalgaon, Maharashtra",20.9892,75.5163,17-Jun-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
30,Halcyon smyrnensis,White-throated Kingfisher,"Nimkhedi Road,Jalgaon",20.9945,76.0622,2-Jun-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
31,Halcyon smyrnensis,White-throated Kingfisher,"Mihan, Nagpur",21.0773,79.0461,20-Sep-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
32,Halcyon smyrnensis,White-throated Kingfisher,"Mihan, Nagpur",21.0773,79.0461,20-Sep-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
33,Halcyon smyrnensis,White-throated Kingfisher,BTPS - Wetland - Bhusawal,21.0475,75.8389,18-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
34,Halcyon smyrnensis,White-throated Kingfisher,BTPS - Wetland - Bhusawal,21.0475,75.8389,18-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
35,Halcyon smyrnensis,White-throated Kingfisher,"Bhopar grasslands, Thane",19.1921,73.0726,4-Nov-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
36,Halcyon smyrnensis,White-throated Kingfisher,Aranyeshwar,18.4849,73.8506,13-Nov-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
37,Halcyon smyrnensis,White-throated Kingfisher,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,18-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
38,Halcyon smyrnensis,White-throated Kingfisher,Panchvati Hill walking Trail,18.5286,73.8152,6-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
39,Halcyon smyrnensis,White-throated Kingfisher,"Ambegaon,  Sawantwadi",15.9795,73.8556,5-Jan-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
40,Halcyon smyrnensis,White-throated Kingfisher,Karvand Dam,21.4587,74.9602,12-Jan-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
41,Halcyon smyrnensis,White-throated Kingfisher,"Pashan Lake, Pune",18.5318,73.7854,10-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
