,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1,Lanius schach,Long-tailed Shrike,"Bena, Near Vasai Beach",19.3469,72.7909,29-Oct-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,Lanius schach,Long-tailed Shrike,"Bhandup Pumping Station, Mumbai",19.1411,72.961,7-Jan-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,Lanius schach,Long-tailed Shrike,"Bena, Near Vasai Beach",19.3469,72.7909,13-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,Lanius schach,Long-tailed Shrike,"Bhandup Pumping Station, Mumbai",19.1411,72.961,3-Feb-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,Lanius schach,Long-tailed Shrike,"Bena, Near Vasai Beach",19.3469,72.7909,4-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,Lanius schach,Long-tailed Shrike,Pipla Road,21.0843,79.1062,22-Jan-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,Lanius schach,Long-tailed Shrike,Kumbhargoan Bhigwan,18.2642,74.8046,3-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,Lanius schach,Long-tailed Shrike,"Ambazari Lake, Nagpur",21.1292,79.0329,2-Dec-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,Lanius schach,Long-tailed Shrike,"Bhandup Pumping Station, Mumbai",19.1411,72.961,1-Oct-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,Lanius schach,Long-tailed Shrike,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,16-Oct-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,Lanius schach,Long-tailed Shrike,"Riverside road, Anandnagar, Pune",18.4795,73.8149,25-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,Lanius schach,Long-tailed Shrike,Yavli,17.8299,75.5978,9-Nov-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,Lanius schach,Long-tailed Shrike,Kiraksal,17.6323,74.5659,26-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
14,Lanius schach,Long-tailed Shrike,"Ambazari Lake, Nagpur",21.1292,79.0329,10-Mar-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
15,Lanius schach,Long-tailed Shrike,"Ambazari Lake, Nagpur",21.1292,79.0329,14-Jan-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
16,Lanius schach,Long-tailed Shrike,shiwar farms sange,19.6377,72.9956,13-Mar-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
