Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,26/11/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,04/05/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Seawoods--Navi Mumbai,19.0101,73.0094,05/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Ambazari Lake, Nagpur",21.1292,79.0329,09/04/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Thane creek Flamingo sanctuary, Airoli",19.15,72.9804,15/04/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Sewri Jetty, Mumbai",18.9956,72.8613,24/05/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Ekbhurgi dam, Washim",20.059,77.0939,19/02/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"19.14x72.957 - Jan 23, 2017 07:04",19.1398,72.9575,23/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Bhandup Pumping Station, Mumbai",19.1411,72.961,07/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Bhandup Pumping Station, Mumbai",19.1411,72.961,30/12/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,12/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Jaikwadi Bird Sanctuary,19.4779,75.3656,23/04/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Diksal,18.3116,74.7927,16/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Kashyapi Dam,20.0769,73.5998,23/06/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan bird sanctuary,18.2872,74.74,16/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Seawoods--Navi Mumbai,19.0101,73.0094,05/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,13/02/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,13/02/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,13/02/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"kumbhargoan dock, Kumbhargaon, Maharashtra, IN (18.273, 74.796)",18.2727,74.7957,24/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Savanga Lake, Amravati",20.8415,77.9003,11/01/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,25/10/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,15/10/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Bhandup Pumping Station, Mumbai",19.1411,72.961,13/10/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Bhandup Pumping Station, Mumbai",19.1411,72.961,13/10/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Nakane Lake, Dhule",20.886,74.7273,10/06/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Kumbhargoan Bhigwan,18.2642,74.8046,06/05/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Kumbhargoan Bhigwan,18.2642,74.8046,06/05/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,12/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Phoenicopterus roseus,Greater Flamingo,"Sewri Jetty, Mumbai",18.9956,72.8613,09/02/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
