,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
0,1,Anas poecilorhyncha,Indian Spot-billed Duck,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.77600000000001,15/03/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
1,2,Anas poecilorhyncha,Indian Spot-billed Duck,"Salim Ali Lake, Aurangabad",19.8987,75.3436,31/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
2,3,Anas poecilorhyncha,Indian Spot-billed Duck,Khadakwasla Dam,18.4295,73.758,17/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
3,4,Anas poecilorhyncha,Indian Spot-billed Duck,Kapurwadi lake,19.1168,74.7798,18/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
4,5,Anas poecilorhyncha,Indian Spot-billed Duck,"Pashan Lake, Pune",18.5318,73.7854,04/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
5,6,Anas poecilorhyncha,Indian Spot-billed Duck,Veer Dam,18.1184,74.0842,24/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
6,7,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,26/06/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
7,8,Anas poecilorhyncha,Indian Spot-billed Duck,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,12/11/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
8,9,Anas poecilorhyncha,Indian Spot-billed Duck,Manora Reservoir,19.8889,79.4918,16/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
9,10,Anas poecilorhyncha,Indian Spot-billed Duck,Maruti Chitampalli Bird Park,21.1336,79.0177,15/05/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
10,11,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,24/01/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
11,12,Anas poecilorhyncha,Indian Spot-billed Duck,Khadakwasla Dam,18.4295,73.758,17/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
12,13,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,14/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
13,14,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,20/12/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
14,15,Anas poecilorhyncha,Indian Spot-billed Duck,Kapurwadi lake,19.1168,74.7798,11/02/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
15,16,Anas poecilorhyncha,Indian Spot-billed Duck,Kavdi Pat,18.5054,74.0006,13/05/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
16,17,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,17/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
17,18,Anas poecilorhyncha,Indian Spot-billed Duck,Kmbhargaon,18.2717,74.7984,07/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
