Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Konal,15.7444,74.0718,27/06/2017,https://static.inaturalist.org/photos/88568650/medium.jpeg?1596733432
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/90045913/medium.jpg?1597490747
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/88568660/medium.jpeg?1596733434
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/88568668/medium.jpeg?1596733437
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/88568678/medium.jpeg?1596733440
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/89573659/medium.jpg?1597236754
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/89573666/medium.jpg?1597236757
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/89573671/medium.jpg?1597236760
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/88568660/medium.jpeg?1596733434
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Hevale,15.7894,74.1116,15/12/2018,https://static.inaturalist.org/photos/88568668/medium.jpeg?1596733437
Ceyx erithaca,Black-backed Dwarf-Kingfisher,TALKAT FOREST GARDEN,15.8071,73.9527,22/02/2020,https://static.inaturalist.org/photos/89573671/medium.jpg?1597236760
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Narendra Dongar, Sawantwadi",15.9034,73.8123,20/10/2015,https://static.inaturalist.org/photos/90045752/medium.jpg?1597490649
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Amboli Village,15.9623,73.9977,16/07/2016,https://static.inaturalist.org/photos/89573659/medium.jpg?1597236754
Ceyx erithaca,Black-backed Dwarf-Kingfisher,Amboli Village,15.9623,73.9977,16/07/2016,https://static.inaturalist.org/photos/89573666/medium.jpg?1597236757
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,24/07/2020,https://static.inaturalist.org/photos/98482466/medium.jpeg?1601695431
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,21/07/2020,https://static.inaturalist.org/photos/9084646/medium.jpg?1500210452
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,24/07/2020,https://static.inaturalist.org/photos/89573687/medium.jpg?1597236770
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,21/07/2020,https://static.inaturalist.org/photos/89573695/medium.jpg?1597236773
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,21/07/2020,https://static.inaturalist.org/photos/89735678/medium.jpg?1597324153
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,20/07/2020,https://static.inaturalist.org/photos/89735686/medium.jpg?1597324157
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,22/07/2020,https://static.inaturalist.org/photos/23065367/medium.jpg?1534175208
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Waghotan Creek Road, Tirlot, Maharashtra, IN (16.484, 73.393)",16.484,73.3928,22/07/2020,https://static.inaturalist.org/photos/25611798/medium.jpg?1537998873
Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Manche, Maharashtra, India",16.5228,73.5315,19/06/2020,https://static.inaturalist.org/photos/79637266/medium.jpeg?1592576608
